aikčioti, čioti_čioja_čiojo
aneksuoti, eksuoti_eksuoja_eksavo
antspauduoti, spauduoti_spauduoja_spaudavo
asimiliuoti, iuoti_iuoja_iavo
asmenuoti, enuoti_enuoja_enavo
automatizuoti, izuoti_izuoja_izavo
balsuoti, suoti_suoja_savo
baltuoti, tuoti_tuoja_tavo
barstyti, styti_̃sto_̃stė
barstytis, stytis_̃stosi_̃stėsi
bidzenti, dzenti_zdena_zdeno
bjurti, jurti_jursta_juro
blefuoti, lefuoti_lefuoja_lefavo
blęsti, lęsti_lendžia_lendė
bučiuoti, iuoti_iuoja_iavo
bučiuotis, iuotis_iuojasi_iavosi
būgštauti, štauti_gtauja_gštavo
burbuliuoti, uliuoti_uliuoja_uliavo
buriuoti, iuoti_iuoja_iavo
būriuoti, iuoti_iuoja_iavo
civilizuoti, izuoti_izuoja_izavo
dainuoti, inuoti_inuoja_inavo
dalyvauti, yvauti_yvauja_yvavo
dangstytis, stytis_stosi_stėsi
deaktivuoti, aktivuoti_aktyvuoja_aktyvavo
deportuoti, portuoti_portuoja_portavo
dėstyti, styti_́sto_́stė
devalvuoti, valvuoti_valvuoja_valvavo
didžiuotis, iuotis_iuojasi_iavosi
dievagotis, agotis_agojasi_agojosi
direktoriauti, oriauti_oriauja_oriavo
dominuoti, inuoti_inuoti_inavo
dovanoti, anoti_anoja_anojo
dovanotis, anotis_anoja_anojo
drabstyti, styti_sto_stė
dramatizuoti, atizuoti_atizuoja_atizavo
drybsoti, rybsoti_rỹbso_rybsojo
dubliouti, iouti_iuoja_iavo
dulksnoti, snoti_snoja_snojo
dvejoti, ejoti_ejoja_ejojo
eiliuoti, iuoti_iuoja_iavo
eksperimentuoti, tuoti_tuoja_tavo
ekzaminuoti, zaminuoti_zaminuoja_zaminavo
ekzistuoti, zistuoti_zistuoja_zistavo
elektrifikuoti, ifikuoti_ifikuoja_ifikavo
elgegauti, egauti_etauja_etavo
emuliuoti, uliuoti_uliuoja_uliavo
fotografuoti, grafuoti_grafuoja_grafavo
garbanoti, anoti_anoja_anojo
gąstauti, tauti_tauja_tavo
geltonuoti, onuoti_onuoja_onavo
gervuogiauti, uogiauti_uogiauja_uogiavo
giminuotis, inuotis_inuojasi_iniavosi
ginčyti, inčyti_inčija_inčijo
ginčytis, inčytis_inčijasi_inčijosi
ginkluoti, inkluoti_inkluoja_inklavo
girtauti, tauti_tauja_tavo
glerti, lerti_lęra_lero
gnaibyti, naibyti_naibo_naibė
gnybti, nybti_nybia_nybė
grizti, rizti_ryzta_rizo
grobstyti, styti_sto_stė
gurkšnoti, šnoti_šnoja_šnojo
hipnotizuoti, izuoti_izuoja_izavo
irkluoti, kluoti_kluoja_klavo
issigąsti, sigąsti_sigą̃sta_sigando
isšikeroti, šikeroti_sikeroja_sikerojo
izoliuoti, iuoti_iuoja_iavo
kainuoti, inuoti_inuoja_inavo
kariauti, iauti_iauja_iavo
karščiuoti, iuoti_iuoja_iavo
karščiuotis, iuotis_iuojasi_avosi
keiksnoti, snoti_snoja_snojo
keliauti, iauti_iauja_iavo
kerštauti, tauti_tauja_tavo
kibirkščiuoti, iuoti_iuoja_iavo
kirčiuoti, iuoti_iuoja_iavo
klostytis, stytis_stosi_stėsi
kniaukti, niaukti_niaũkia_niaũkė
kniūbčioti, čioti_čioja_čiojo
kolaboruoti, aboruoti_aboruoja_aboravo
kolekcionuoti, ionuoti_ionuoja_ionavo
kolonizuoti, izuoti_izuoja_izavo
