abuojėti, uojėti_uojėja_uojėjo
sabotuoti, abotuoti_abotuoja_abotavo
sakinėti, inėti_inėja_inėjo
sandėliuoti, ėliuoti_ėliuoja_ėliavo
santykiauti, tykiauti_tykiauja_tykiavo
šeimininkauti, ininkauti_ininkauja_ininkavo
sielvartauti, vartauti_vartauja_vartavo
siūbtelėti, telėti_telėja_btelėjo
siūbtelti, telti_bteli_btelėjo
siuvinėti, inėti_inė́ja_inė́jo
skaičiuoti, iuoti_iuoja_iavo
skėsčioti, čioti_sčioja_sčiojo
skirstyti, styti_sto_stė
skirstytis, stytis_stosi_stėsi
skrepliuoti, krepliuoti_krepliuoja_krepliavo
skutinėti, inėti_inėja_inėjo
slidinėti, inėti_inė́ja_inė́jo
slystelėti, telėti_telėja_telėjo
smaguriauti, iauti_iauja_iavo
smaigstyti, styti_sto_stė
smaližiauti, iauti_iauja_iavo
smūgiuoti, iuoti_iuoja_iavo
šnektelėti, telėti_telėja_telėjo
šnektelti, telti_teli_telėjo
šnekučiuotis, učiuotis_učiuojasi_učiavosi
snerkšti, erkšti_erkščia_irkštė
šnerpšti, erpšti_erpščia_ir̃pštė
šniokšti, iokšti_iokščia_iokštė
šnipinėti, inėti_inė́ja_inė́jo
šniukštinėti, iukštinėti_iukštelėja_iukštelėjo
šniypšti, iypšti_ỹpščia_ỹpštė
šokinėti, inėti_inė́ja_inė́jo
spėlioti, lioti_lioja_liojo
spinduliuoti, uliuoti_uliuoja_uliavo
spisti, pisti_pinta_pito
spustelėti, telėti_telėja_telėjo
stodinėti, dinėti_dinėja_dinėjo
stovinėti, inėti_inėja_inė́jo
stoviniuoti, iniuoti_iniuoja_iniavo
stovyklauti, yklauti_yklauja_yklavo
strikinėti, rikinėti_rikinė́ja_rikinė́jo
strykinėti, inėti_inė́ja_inė́jo
stryktelėti, telėti_telėja_telėjo
stumtelėti, telėti_telėja_telėjo
šturmuoti, urmuoti_urmuoja_urmavo
šuoliuoti, iuoti_iuoja_iavo
šurmuliuoti, uliuoti_uliuoja_uliavo
svarstyti, styti_̃sto_̃stė
švartuotis, tuotis_tuojasi_tavosi
svečiuotis, iuotis_iuojasi_iavosi
švilptelėti, telėti_telėja_telėjo
švokšti, okšti_okščia_okštė
šyptelėti, telėti_telėja_telėjo
sysioti, ysioti_ysioja_ysiojo
tarkuoti, kuoti_kuoja_kavo
tarpininkauti, ininkauti_ininkauja_ininkavo
tebebūti, bebūti_bebū̃na_bebuvo
timptelėti, mptelėti_mptelėja_mptelėjo
tinginiauti, iniauti_iniauja_iniavo
tmepti, mepti_em̃pia_emptė
trakštelėti, telėti_telėja_telėjo
transliuoti, iuoti_iuoja_iavo
tursenti, senti_sẽna_sẽno
tvarstyti, styti_sto_stė
tvykstelėti, ykstelėti_ykstelėja_ykstelėjo
tyrinėti, inėti_inė́ja_inė́jo
ūkininkauti, ninkauti_ninkauja_ninkavo
utilizuoti, ilizuoti_ilizuoja_ilizavo
vadovauti, ovauti_ovauja_ovavo
vadovautis, ovautis_ovaujasi_ovavosi
vagiliauti, iliauti_iliauja_iliavo
vaikštinėti, inėti_inė́ja_inė́jo
vakarienauti, ienauti_ieniauja_ieniavo
vakarieniauti, ieniauti_ienauja_ieniavo
valkatauti, atauti_atauja_atavo
vanoti, anoti_anoja_anojo
varinėti, inėti_inė́ja_inė́jo
varstyti, styti_sto_stė
vartototi, ototi_oja_ojo
važinėti, inėti_inė́ja_inė́jo
važinėtis, inėtis_inė́jasi_inė́josi
važiuoti, iuoti_iuoja_iavo
veidmaniauti, maniauti_mainiauja_mainiavo
verkšlenti, šlenti_šlẽna_šlẽno
vertėjauti, ėjauti_ėjauja_ėjavo
viduriuoti, uriuoti_uriuoja_uriavo
viešpatauti, patauti_patauja_patavo
vingiuoti, iuoti_iuoja_iavo
vyptelėti, telėti_telėja_telėjo
žaliuoti, iuoti_iuoja_iavo
žiaukčioti, kčioti_kčioja_kčiojo
žingsniuoti, sniuoti_sniuoja_sniavo
žinoti, inoti_ino_inojo
žioplinėti, inėti_inė́ja_inė́jo
žiūrinėti, inėti_inė́ja_inė́jo
žlegtelėti, telėti_telėja_telėjo
žodžiuoti, iuoti_iuoja_iavo
žodžiuotis, iuotis_iuojasi_iavosi
žvilgčioti, čioti_čioja_čiojo
žvilgtelėti, telėti_telėja_telėjo
žygiuoti, iuoti_iuoja_iavo
